type_bin,ship_type_standardized,size_bin,size_range_standardized,op_mode,aux_power_kw,boiler_power_kw
1,Bulk carrier,1,"0-9,999",Anchored,70.0,180.0
1,Bulk carrier,1,"0-9,999",At berth,70.0,110.0
1,Bulk carrier,1,"0-9,999",Manoeuvering,60.0,500.0
1,Bulk carrier,1,"0-9,999",Slow transit,0.0,190.0
1,Bulk carrier,1,"0-9,999",Cruising,0.0,190.0
1,Bulk carrier,2,"10,000-34,999",Anchored,70.0,180.0
1,Bulk carrier,2,"10,000-34,999",At berth,70.0,110.0
1,Bulk carrier,2,"10,000-34,999",Manoeuvering,60.0,500.0
1,Bulk carrier,2,"10,000-34,999",Slow transit,0.0,190.0
1,Bulk carrier,2,"10,000-34,999",Cruising,0.0,190.0
1,Bulk carrier,3,"35,000-59,999",Anchored,130.0,250.0
1,Bulk carrier,3,"35,000-59,999",At berth,130.0,150.0
1,Bulk carrier,3,"35,000-59,999",Manoeuvering,120.0,680.0
1,Bulk carrier,3,"35,000-59,999",Slow transit,0.0,260.0
1,Bulk carrier,3,"35,000-59,999",Cruising,0.0,260.0
1,Bulk carrier,4,"60,000-99,999",Anchored,260.0,400.0
1,Bulk carrier,4,"60,000-99,999",At berth,260.0,240.0
1,Bulk carrier,4,"60,000-99,999",Manoeuvering,240.0,1100.0
1,Bulk carrier,4,"60,000-99,999",Slow transit,0.0,410.0
1,Bulk carrier,4,"60,000-99,999",Cruising,0.0,410.0
1,Bulk carrier,5,"100,000-199,999",Anchored,260.0,400.0
1,Bulk carrier,5,"100,000-199,999",At berth,260.0,240.0
1,Bulk carrier,5,"100,000-199,999",Manoeuvering,240.0,1100.0
1,Bulk carrier,5,"100,000-199,999",Slow transit,0.0,410.0
1,Bulk carrier,5,"100,000-199,999",Cruising,0.0,410.0
1,Bulk carrier,6,"200,000-+",Anchored,260.0,400.0
1,Bulk carrier,6,"200,000-+",At berth,260.0,240.0
1,Bulk carrier,6,"200,000-+",Manoeuvering,240.0,1100.0
1,Bulk carrier,6,"200,000-+",Slow transit,0.0,410.0
1,Bulk carrier,6,"200,000-+",Cruising,0.0,410.0
3,Chemical tanker,1,"0-4,999",Anchored,160.0,170.0
3,Chemical tanker,1,"0-4,999",At berth,670.0,110.0
3,Chemical tanker,1,"0-4,999",Manoeuvering,130.0,190.0
3,Chemical tanker,1,"0-4,999",Slow transit,0.0,200.0
3,Chemical tanker,1,"0-4,999",Cruising,0.0,200.0
3,Chemical tanker,2,"5,000-9,999",Anchored,160.0,490.0
3,Chemical tanker,2,"5,000-9,999",At berth,670.0,330.0
3,Chemical tanker,2,"5,000-9,999",Manoeuvering,130.0,560.0
3,Chemical tanker,2,"5,000-9,999",Slow transit,0.0,580.0
3,Chemical tanker,2,"5,000-9,999",Cruising,0.0,580.0
3,Chemical tanker,3,"10,000-19,999",Anchored,240.0,490.0
3,Chemical tanker,3,"10,000-19,999",At berth,1000.0,330.0
3,Chemical tanker,3,"10,000-19,999",Manoeuvering,200.0,560.0
3,Chemical tanker,3,"10,000-19,999",Slow transit,0.0,580.0
3,Chemical tanker,3,"10,000-19,999",Cruising,0.0,580.0
3,Chemical tanker,4,"20,000-39999",Anchored,320.0,550.0
3,Chemical tanker,4,"20,000-39999",At berth,1350.0,790.0
3,Chemical tanker,4,"20,000-39999",Manoeuvering,270.0,900.0
3,Chemical tanker,4,"20,000-39999",Slow transit,0.0,660.0
3,Chemical tanker,4,"20,000-39999",Cruising,0.0,660.0
3,Chemical tanker,5,"40,000-+",Anchored,320.0,550.0
3,Chemical tanker,5,"40,000-+",At berth,1350.0,790.0
3,Chemical tanker,5,"40,000-+",Manoeuvering,270.0,900.0
3,Chemical tanker,5,"40,000-+",Slow transit,0.0,660.0
3,Chemical tanker,5,"40,000-+",Cruising,0.0,660.0
4,Container,1,0-999,Anchored,250.0,450.0
4,Container,1,0-999,At berth,250.0,370.0
4,Container,1,0-999,Manoeuvering,240.0,790.0
