imo,ts,lon,lat,distance_to_shore,reported_draught,sog,cog,distance_to_port,mmsi,vessel_name,type_bin,ship_type_standardized,size_bin,size_range_standardized,flag,year_of_built,gross_tonnage,deadweight,engine_code,engine_type,tier,eng_total_kw,main_engine_rpm,draught,service_speed,me_fuel,aux_fuel,boiler_fuel,me_sfoc,aux_sfoc,boiler_sfoc,fuel_code_map_me,fuel_code_map_aux,fuel_code_map_boi,engine_desc,fuel_type_map_me,sfc_base_me_g_per_kwh,fuel_type_map_aux,sfc_base_aux_g_per_kwh,fuel_type_map_boi,sfc_base_boi_g_per_kwh,t_ref,t_i,t_i_c,v_ref,v_i,w_me_ref_kw,c_w,c_f,w_me_i_kw,w_me_i_wf_kw,w_me_i_wf_c_kw,w_me_load,w_me_load_c,op_mode,w_aux_i_kw,w_boi_i_kw,cf_l,sfc_me_i_g_per_kwh,fc_me_i_g,sfc_i_aux_g_per_kwh,fc_aux_i_g,sfc_i_boi_g_per_kwh,fc_boi_i_g,co2_me_g_per_gfuel,ch4_me_g_per_kWh,n2o_me_g_per_kWh,co2_aux_g_per_gfuel,ch4_aux_g_per_kWh,n2o_aux_g_per_kWh,co2_boi_g_per_gfuel,ch4_boi_g_per_kWh,n2o_boi_g_per_kWh,co2_me_g,ch4_me_g,n2o_me_g,co2e_me_g,co2_aux_g,ch4_aux_g,n2o_aux_g,co2e_aux_g,co2_boi_g,ch4_boi_g,n2o_boi_g,co2e_boi_g,co2_tot_g,ch4_tot_g,n2o_tot_g,co2e_tot_g
9120841,2022-07-15 01:00:00,-123.31067,-17.27125,452.041,11.4,17.200088922689808,292.341333023964,603.0841215631152,219476000.0,SOVEREIGN MAERSK,4,Container,6,8000-11999,Denmark (Dis),1997,92198.0,110381.0,1,SSD,0,54840.0,94.0,14.94,26.32475522858267,1,1,1,185.0,205.0,340.0,1,1,1,Slow-Speed Diesel-cycle (SSD),HFO,205.0,HFO,225.0,HFO,340.0,14.94,11.4,11.4,26.32475522858267,17.200088922689808,54840.0,0.867,0.917,12773.188852778423,16066.116068241208,16066.116068241208,0.29296345857478495,0.29296345857478495,Slow transit,0.0,1800.0,1.111047496979248,227.76473688074586,3659294.698978482,225.0,0.0,340.0,612000.0,3.114,0.01,0.03,3.114,0.01,0.03,3.114,0.01,0.03,11395043.692618992,160.6611606824121,481.98348204723624,11530641.712234948,0.0,0.0,0.0,0.0,1905768.0,18.0,54.0,1920960.0,13300811.692618992,178.6611606824121,535.9834820472363,13451601.712234948
9120841,2022-07-15 01:00:00,-123.31067,-17.27125,452.041,11.4,17.200088922689808,292.341333023964,603.0841215631152,219476000.0,SOVEREIGN MAERSK,4,Container,6,8000-11999,Denmark (Dis),1997,92198.0,110381.0,1,SSD,0,54840.0,94.0,14.94,26.32475522858267,1,1,1,185.0,205.0,340.0,1,1,1,Slow-Speed Diesel-cycle (SSD),HFO,205.0,HFO,225.0,HFO,340.0,14.94,11.4,11.4,26.32475522858267,17.200088922689808,54840.0,0.867,0.917,12773.188852778423,16066.116068241208,16066.116068241208,0.29296345857478495,0.29296345857478495,Slow transit,0.0,1800.0,1.111047496979248,227.76473688074586,3659294.698978482,225.0,0.0,340.0,612000.0,3.114,0.01,0.03,3.114,0.01,0.03,3.114,0.01,0.03,11395043.692618992,160.6611606824121,481.98348204723624,11530641.712234948,0.0,0.0,0.0,0.0,1905768.0,18.0,54.0,1920960.0,13300811.692618992,178.6611606824121,535.9834820472363,13451601.712234948
9120841,2022-07-15 01:00:00,-123.31067,-17.27125,452.041,11.4,17.200088922689808,292.341333023964,603.0841215631152,219476000.0,SOVEREIGN MAERSK,4,Container,6,8000-11999,Denmark (Dis),1997,92198.0,110381.0,1,SSD,0,54840.0,94.0,14.94,26.32475522858267,1,1,1,185.0,205.0,340.0,1,1,1,Slow-Speed Diesel-cycle (SSD),HFO,205.0,HFO,225.0,HFO,340.0,14.94,11.4,11.4,26.32475522858267,17.200088922689808,54840.0,0.867,0.917,12773.188852778423,16066.116068241208,16066.116068241208,0.29296345857478495,0.29296345857478495,Slow transit,0.0,1800.0,1.111047496979248,227.76473688074586,3659294.698978482,225.0,0.0,340.0,612000.0,3.114,0.01,0.03,3.114,0.01,0.03,3.114,0.01,0.03,11395043.692618992,160.6611606824121,481.98348204723624,11530641.712234948,0.0,0.0,0.0,0.0,1905768.0,18.0,54.0,1920960.0,13300811.692618992,178.6611606824121,535.9834820472363,13451601.712234948
9120841,2022-07-15 01:00:00,-123.31067,-17.27125,452.041,11.4,17.200088922689808,292.341333023964,603.0841215631152,219476000.0,SOVEREIGN MAERSK,4,Container,6,8000-11999,Denmark (Dis),1997,92198.0,110381.0,1,SSD,0,54840.0,94.0,14.94,26.32475522858267,1,1,1,185.0,205.0,340.0,1,1,1,Slow-Speed Diesel-cycle (SSD),HFO,205.0,HFO,225.0,HFO,340.0,14.94,11.4,11.4,26.32475522858267,17.200088922689808,54840.0,0.867,0.917,12773.188852778423,16066.116068241208,16066.116068241208,0.29296345857478495,0.29296345857478495,Slow transit,0.0,1800.0,1.111047496979248,227.76473688074586,3659294.698978482,225.0,0.0,340.0,612000.0,3.114,0.01,0.03,3.114,0.01,0.03,3.114,0.01,0.03,11395043.692618992,160.6611606824121,481.98348204723624,11530641.712234948,0.0,0.0,0.0,0.0,1905768.0,18.0,54.0,1920960.0,13300811.692618992,178.6611606824121,535.9834820472363,13451601.712234948
9120841,2022-07-15 01:00:00,-123.31067,-17.27125,452.041,11.4,17.200088922689808,292.341333023964,603.0841215631152,219476000.0,SOVEREIGN MAERSK,4,Container,6,8000-11999,Denmark (Dis),1997,92198.0,110381.0,1,SSD,0,54840.0,94.0,14.94,26.32475522858267,1,1,1,185.0,205.0,340.0,1,1,1,Slow-Speed Diesel-cycle (SSD),HFO,205.0,HFO,205.0,HFO,340.0,14.94,11.4,11.4,26.32475522858267,17.200088922689808,54840.0,0.867,0.917,12773.188852778423,16066.116068241208,16066.116068241208,0.29296345857478495,0.29296345857478495,Slow transit,0.0,1800.0,1.111047496979248,227.76473688074586,3659294.698978482,205.0,0.0,340.0,612000.0,3.114,0.01,0.03,3.114,0.01,0.03,3.114,0.01,0.03,11395043.692618992,160.6611606824121,481.98348204723624,11530641.712234948,0.0,0.0,0.0,0.0,1905768.0,18.0,54.0,1920960.0,13300811.692618992,178.6611606824121,535.9834820472363,13451601.712234948
